GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-DC_AML__co-3-Query	avg-DC_AML__co-3-Ref
ENSMUSG00000083192	En	-3.91831987328	7.52997451121e-24	1.01790195443e-19	Rpl31-ps12	0.206917077085	4.12523695037
Rn4.5s	Sy	3.15289687788	9.80680022392e-20	6.62841627135e-16	Rn4.5s	8.91575413091	5.76285725303
ENSMUSG00000035004	En	-5.88536908706	7.79638029365e-19	3.51304896032e-15	Igsf6	0.334836923511	6.22020601057
ENSMUSG00000020125	En	-8.36210164278	5.80510207304e-18	1.96183424558e-14	Elane	2.10964547302	10.4717471158
ENSMUSG00000044285	En	2.59650089878	1.83333396772e-17	4.95660171513e-14	Gm1821	8.51478175821	5.91828085943
ENSMUSG00000036192	En	1.17803850988	8.81847228773e-15	1.98680180643e-11	Rorb	1.18173955362	0.00370104373333
ENSMUSG00000009350	En	-7.86806502462	1.53374730487e-14	2.96188515247e-11	Mpo	4.29719105562	12.1652560802
ENSMUSG00000024480	En	-5.85957769535	2.41514619393e-13	4.0809932812e-10	Ap3s1	1.93670737879	7.79628507413
ENSMUSG00000002944	En	7.06907068528	2.89666147768e-13	4.35078553948e-10	Cd36	7.06907068528	0.0
ENSMUSG00000024681	En	-6.4583144398	3.24374049367e-13	4.38488839934e-10	Ms4a3	1.3459176793	7.8042321191
ENSMUSG00000034220	En	-3.62787787413	4.37957308906e-13	5.38209718344e-10	Gpc1	0.0330251284681	3.6609030026
ENSMUSG00000039167	En	-4.23178421713	5.9249944771e-13	6.67450627845e-10	Eltd1	0.305161613234	4.53694583037
ENSMUSG00000057729	En	-6.89639085834	1.54988109364e-12	1.61163789414e-09	Prtn3	2.65609999689	9.55249085523
ENSMUSG00000003545	En	-3.1664792628	3.31876934813e-12	3.20450886058e-09	Fosb	0.479254026532	3.64573328933
Gm6251	Sy	2.92812497236	3.85612374612e-12	3.47513872001e-09	Gm6251	3.79418050096	0.8660555286
ENSMUSG00000060509	En	5.90366951212	5.18217267151e-12	4.37828813584e-09	Xcr1	6.49097339279	0.587303880667
ENSMUSG00000037221	En	-4.05073514786	6.719202985e-12	5.34295211478e-09	Mospd3	0.410246057106	4.46098120497
ENSMUSG00000018819	En	6.28587685159	8.09431205508e-12	6.07882835336e-09	Lsp1	10.3192756243	4.03339877273
ENSMUSG00000029484	En	-4.79768709299	1.24868186533e-11	8.58574067618e-09	Anxa3	1.18817067704	5.98585777003
ENSMUSG00000024610	En	9.26523644694	1.27026789114e-11	8.58574067618e-09	Cd74	11.4242443948	2.15900794787
ENSMUSG00000027907	En	1.72454325692	1.58766547517e-11	1.0220029473e-08	S100a11	11.0473848966	9.3228416397
ENSMUSG00000022659	En	5.00546121368	1.92456353554e-11	1.18255681243e-08	Gcsam	5.00546121368	0.0
ENSMUSG00000040658	En	-4.07953081546	2.07013518752e-11	1.21669945499e-08	Dnph1	0.586821014809	4.66635183027
ENSMUSG00000025395	En	-4.55515591951	4.71516753262e-11	2.65581811275e-08	Prim1	0.710782604021	5.26593852353
ENSMUSG00000036594	En	9.13052148421	5.54925885927e-11	3.00059525038e-08	H2-Aa	11.3450391501	2.2145176659
ENSMUSG00000029322	En	-6.21998721944	6.81648070621e-11	3.54404562256e-08	Plac8	5.63447208019	11.8544592996
ENSMUSG00000029413	En	7.00728896286	7.55295109726e-11	3.78151084936e-08	Naaa	8.4133685563	1.40607959343
Rn45s	Sy	-1.17162180456	8.53177266411e-11	4.11901795977e-08	Rn45s	10.0335946076	11.2052164122
ENSMUSG00000060586	En	7.93660900012	9.96647081785e-11	4.64575008675e-08	H2-Eb1	9.28891801302	1.3523090129
ENSMUSG00000074476	En	-2.32015712126	1.03446430104e-10	4.66129614048e-08	Spc24	4.86238479117	7.18254191243
ENSMUSG00000027360	En	-4.27656827819	1.09872439929e-10	4.79114723535e-08	Hdc	0.293607897979	4.57017617617
ENSMUSG00000032484	En	2.68376627832	1.99051241475e-10	8.40867088205e-08	Ngp	2.76695611709	0.0831898387667
ENSMUSG00000096581	En	6.13833692144	2.41199484079e-10	9.88040795692e-08	Bcl2a1d	6.27320831417	0.134871392733
ENSMUSG00000032786	En	-4.82752472525	2.58861807923e-10	1.02803478527e-07	Alas1	1.34094499591	6.16846972117
ENSMUSG00000049775	En	2.37509973896	2.66172640068e-10	1.02803478527e-07	Tmsb4x	13.774139926	11.399040187
ENSMUSG00000031722	En	-4.14335945413	3.54025786391e-10	1.29873454106e-07	Hp	0.576305565702	4.71966501983
ENSMUSG00000093809	En	6.18377255472	3.55475499477e-10	1.29873454106e-07	Bcl2a1a	6.18377255472	0.0
ENSMUSG00000006360	En	3.73584514466	3.66101903777e-10	1.30235935138e-07	Crip1	11.4933316573	7.7574865126
ENSMUSG00000021728	En	-4.88234120449	4.12588352124e-10	1.43009470359e-07	Emb	2.38134653568	7.26368774017
ENSMUSG00000020644	En	7.31707617349	4.37565804586e-10	1.45416155943e-07	Id2	9.62547144572	2.30839527223
ENSMUSG00000025950	En	-4.58860596723	4.41046189796e-10	1.45416155943e-07	Idh1	1.2331400997	5.82174606693
